# Quasi-dynamic assembly motion log
# dt=0.02 s, default_mass=0.05 kg, default_inertia=0.0001 kg m^2
# This is a rigid-body approximation driven by OpenFOAM forces.dat/log loads, with panel fallback only if OpenFOAM loads are unavailable.
step	patch	material	material_source	mass_kg	density_kg_m3	mate_type	freedom_source	Cd	Cs	Cl	CmRoll	CmPitch	CmYaw	Fx_N	Fy_N	Fz_N	Mx_Nm	My_Nm	Mz_Nm	dx_m	dy_m	dz_m	droll_rad	dpitch_rad	dyaw_rad	total_x_m	total_y_m	total_z_m
9	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.31160995	0	-0.059760683	0	0	0	-4.2201963	1.3133237	-0.8371799	-0.13949093	-0.0027299594	0.0010772988	-0.017253011	0.0099494293	0.0018282372	-0.17439894	0.00025879866	0.0068327396	-0.12941912	0.11787301	0.085492617
9	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	-0.11088657	0	0.0014723359	0	0	0	-2.519493	0.077145503	0.036333243	-0.22124388	-7.6556551e-05	5.786388e-05	0	0	0	0	0	0	0	0	0
9	Part_1_2	unknown	bom	0.013592119	1000	FREE	unmated	-0.78183488	0	-0.10494906	0	0	0	-27.624101	-0.35650333	-3.713901	-0.035653352	-0.0016054805	0.00101323	-0.01989902	-6.2883961e-06	-0.0020072245	-0.17403113	-0.011821004	-0.0059306833	-0.19971144	-3.2271274e-05	-0.0080969808
9	Part_1_3	unknown	bom	0.046483876	1000	FREE	unmated	-0.29936156	0	0.082609892	0	0	0	-4.0419802	0.64957181	1.1600733	-0.14634174	-0.0034790807	-0.0042908684	-0.0171874	-0.0021365652	0.010001418	-0.17440529	-0.0066734391	-4.4536373e-05	-0.12865522	-0.086802096	0.11826755
9	Part_1_6	unknown	bom	0.046483876	1000	FREE	unmated	-0.30838111	0	0.048439515	0	0	0	-4.1724058	-1.4176388	0.6798637	-0.14210734	0.0046334952	-0.0021538424	-0.017133252	-0.010087503	-0.002166552	-0.17440734	0.00012937543	-0.0066185003	-0.12872153	-0.11836129	-0.086788404
10	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.29515635	0	-0.042983987	0	0	0	-3.990482	-1.3816793	-0.60036041	-0.13900556	0.0037929561	-0.0010219973	-0.017542169	0.0011885666	-0.0095320302	-0.17441517	0.0064091263	-0.00011590894	-0.14610473	0.088115421	-0.1282043
10	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.29872644	0	-0.11049074	0	0	0	-4.033203	0.73563036	-1.5485515	-0.14623303	-4.7127378e-05	0.0026924356	-0.017709492	0.0092672167	0.00070183566	-0.17441371	0.00022512848	0.0064459471	-0.14712861	0.12714022	0.086194452
10	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	-0.10958367	0	-0.01639872	0	0	0	-2.4973649	0.05281271	-0.40723045	-0.21116867	0.00081465875	0.0019101708	0	0	0	0	0	0	0	0	0
10	Part_1_2	unknown	bom	0.013592119	1000	FREE	unmated	-0.71072444	0	-0.095742532	0	0	0	-25.109578	-0.75315079	-3.3895466	-0.034430963	0.00026404756	0.0023672881	-0.019880262	-0.00015779646	-0.002179519	-0.17421928	-0.0099152774	-0.0033272734	-0.2195917	-0.00019006773	-0.0102765
10	Part_1_3	unknown	bom	0.046483876	1000	FREE	unmated	-0.31059646	0	0.11507493	0	0	0	-4.2038303	2.3685781	1.6112153	-0.1416773	-0.003630465	-0.0012194798	-0.017489673	-0.00048354572	0.009689042	-0.17441377	-0.0064452217	-0.00019556224	-0.14614489	-0.087285642	0.12795659
10	Part_1_6	unknown	bom	0.046483876	1000	FREE	unmated	-0.2947515	0	0.13524606	0	0	0	-3.9794062	-0.87664933	1.8960505	-0.14441706	0.0012769313	-0.0038434979	-0.017585715	-0.0094912075	-0.00081217101	-0.17441496	0.00027873252	-0.0064098006	-0.14630725	-0.1278525	-0.087600575
11	Part_1_5	unknown	bom	0.046483876	1000	FREE	unmated	-0.2750807	0	-0.061440874	0	0	0	-3.7013244	-2.1854048	-0.85717995	-0.14728776	0.0017521211	-0.0024299577	-0.017846123	-0.00020723253	-0.0090262367	-0.17443004	0.0059792367	-0.00039017097	-0.16395085	0.087908188	-0.13723054
11	Part_1_4	unknown	bom	0.046483876	1000	FREE	unmated	-0.3011341	0	-0.069485791	0	0	0	-4.0676403	0.23882439	-0.97545941	-0.14548103	0.0023737728	0.0032943041	-0.018148265	0.0084045592	6.2236057e-05	-0.17442205	0.00048212218	0.0062014558	-0.16527688	0.13554478	0.086256688
11	Part_1_1	unknown	bom	0.091184936	1000	ANCHOR	assembly-root-anchor	-0.11197192	0	-0.0051237422	0	0	0	-2.5473106	-0.20232956	-0.12765887	-0.22025221	0.00080379602	0.0010174846	0	0	0	0	0	0	0	0	0
