# Per-step geometry/movement diagnostic. If dx/drot stay zero, the motion solver is not moving that part.
step	patch	coeff_source	load_source	force_N	moment_Nm	moved_m	rotated_rad	cofr_x	cofr_y	cofr_z	bbox_xmin	bbox_xmax	bbox_ymin	bbox_ymax	bbox_zmin	bbox_zmax
9	Part_1_3	Part_1_3	OpenFOAM-forces	4.2550343	0.14644597	0.02	0.17453293	-0.16950911	0.047504928	0.172687	-0.20192898	-0.13475042	0.0041196262	0.047998769	0.15771599	0.20436291
9	Part_1_6	Part_1_6	OpenFOAM-forces	4.4587985	0.14219918	0.02	0.17453293	-0.16943653	-0.13865113	0.057777333	-0.20190708	-0.13467616	-0.17030178	-0.12360139	0.014370066	0.05823876
10	Part_1_5	Part_1_5	OpenFOAM-forces	4.2653742	0.13906105	0.02	0.17453293	-0.18766491	-0.045716925	-0.12580306	-0.2200477	-0.15302306	-0.043328015	-0.0038144302	-0.16400004	-0.11111019
10	Part_1_4	Part_1_4	OpenFOAM-forces	4.3824525	0.14625782	0.02	0.17453293	-0.18903282	0.15770957	-0.036306869	-0.22129528	-0.15437755	0.14340696	0.19611955	-0.034388493	0.0052951032
10	Part_1_1	Part_1_1	OpenFOAM-forces	2.5309005	0.21117888	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
10	Part_1_2	Part_1_2	OpenFOAM-forces	25.348515	0.034513258	0.02	0.17453293	-0.28450356	0.0043014745	-0.0068626926	-0.2922517	-0.27740247	-0.031203337	0.044786574	-0.04251242	0.033058266
10	Part_1_3	Part_1_3	OpenFOAM-forces	5.0870784	0.14172905	0.02	0.17453293	-0.18785645	0.070615427	0.16969919	-0.22015212	-0.15323584	0.028774011	0.068317014	0.1552757	0.20804618
10	Part_1_6	Part_1_6	OpenFOAM-forces	4.4943515	0.14447384	0.02	0.17453293	-0.1878706	-0.13552905	0.080598082	-0.22021958	-0.15325034	-0.17379837	-0.1209717	0.038760631	0.078273723
11	Part_1_5	Part_1_5	OpenFOAM-forces	4.3829846	0.14731822	0.02	0.17453293	-0.20632382	-0.068549727	-0.11819734	-0.23859956	-0.17182775	-0.064721794	-0.029533507	-0.1623267	-0.10489211
11	Part_1_4	Part_1_4	OpenFOAM-forces	4.1897799	0.14553769	0.02	0.17453293	-0.20801176	0.14937009	-0.05830643	-0.24016696	-0.17351223	0.13632542	0.19359866	-0.055126501	-0.019726463
11	Part_1_1	Part_1_1	OpenFOAM-forces	2.5585202	0.22025603	0	0	-0.00057235093	0.012022757	0.022313624	-0.055104251	0.053959549	-0.006477243	0.030522757	0.0038136236	0.040813624
11	Part_1_2	Part_1_2	OpenFOAM-forces	27.617518	0.037511987	0.02	0.17453293	-0.30412314	-0.0017664906	-0.0090585401	-0.312145	-0.29681224	-0.036462197	0.039471304	-0.045172421	0.030440869
11	Part_1_3	Part_1_3	OpenFOAM-forces	4.1800253	0.14329181	0.02	0.17453293	-0.20655203	0.093641634	0.16176855	-0.23873745	-0.17210659	0.054721269	0.089946783	0.14879027	0.20607289
